,Côte,Enchère_moy,Note,Variation,But,Temps,Jour,Note_Jour,Journée_Next,Buteur,Entrée_Remplaçant,But_Match,Match_Noté,Titulaire_Match,Statut,Status_Match_Code,Derniers_Status_Match_avant_J,Derniers_Match_Buteur_avant_J,Derniers_But_Match_avant_J,Derniers_Status_Match_après_J,Derniers_Match_Buteur_après_J,Derniers_But_Match_après_J,%Buteur_Derniers_Match,%Titulaire_Derniers_Match,%Noté_Derniers_Match,%Buteur_Derniers_Match_après,%Titulaire_Derniers_Match_après,%Noté_Derniers_Match_après,But/Match_Derniers_Match,But/Match_Derniers_Match_après,Note_Moy_Derniers_Match,Note_Moy_Derniers_Match_Dom,Note_Moy_Derniers_Match_Ext,Note_Moy_,Note_Moy_Derniers_Match_A,Note_Moy_Derniers_Match_Dom_A,Note_Moy_Derniers_Match_Ext_A,Moy_But_Av_J,Nb_But_Av_J,Moy_But_Ap_J,Nb_But_Ap_J,Rolling_Note_J,Rolling_Note_J_Ap,Rolling_Note_J_Derniers_Match,Rolling_Note_J_Derniers_Match_Ap,Ratio_G_derniers matchs,Ratio_N_derniers matchs,Ratio_P_derniers matchs,Note_Jour_Next_Classes
7717,6,6.0,4.65,0.9,2,212,21,0.0,22,0,0,0,0,0,0,0,1111.0,0.0,0.0,111,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.0,2.6,0.0,2.6,4.0,2.6,0.1,2.0,0.1,2,2.9,2.76,3.5,2.6,0.3333333333333333,0.0,0.6666666666666666,0
7718,14,14.0,4.8,0.93,1,2544,21,0.0,22,0,0,0,0,0,0,0,2222.0,0.0,0.0,222,0,0,0.0,0.8,0.8,0.0,0.6,0.6,0.0,0.0,3.6,3.9,4.9,0.0,2.9,3.9,4.2,0.05,1.0,0.05,1,3.98,3.79,3.6,2.9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
7719,13,13.0,5.19,0.79,2,1009,21,5.0,22,0,0,0,1,1,0,2,10010.0,0.0,0.0,21001,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,2.2,1.1,2.1,5.0,3.2,1.1,3.1,0.0,0.0,0.0,0,2.62,2.74,2.2,3.2,0.6666666666666666,0.3333333333333333,0.0,3
7720,7,7.0,6.0,0.0,0,90,21,0.0,22,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7721,11,12.0,4.76,0.66,1,1252,21,0.0,22,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1
7722,1,1.0,4.72,0.51,0,197,21,5.0,22,0,1,0,1,0,0,1,0.0,0.0,0.0,10000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,5.0,1.0,1.9,1.0,0.0,0.0,0.0,0,0.9,1.1,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
7723,11,23.0,4.7,0.67,0,313,21,0.0,22,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0
7724,6,9.0,4.95,1.01,0,1848,21,5.0,22,0,0,0,1,1,0,2,222.0,0.0,0.0,20022,0,0,0.0,0.6,0.6,0.0,0.6,0.6,0.0,0.0,2.9,3.9,3.7,5.0,3.3,3.9,4.0,0.0,0.0,0.0,0,4.58,4.6,2.9,3.3,0.0,0.0,1.0,0
7725,16,16.0,5.2,0.81,1,2394,21,7.5,22,0,0,0,1,1,1,2,12221.0,0.0,0.0,21222,0,0,0.0,0.6,0.6,0.0,0.8,0.8,0.0,0.0,5.2,4.2,5.3,7.5,5.7,4.6,5.3,0.0,0.0,0.0,0,4.85,4.98,5.2,5.7,0.6666666666666666,0.0,0.3333333333333333,3
7726,5,5.0,4.97,0.33,0,610,21,0.0,22,0,0,0,0,0,0,0,2212.0,0.0,0.0,221,0,0,0.0,0.6,0.6,0.0,0.4,0.4,0.0,0.0,4.0,4.0,3.0,0.0,2.9,4.0,3.0,0.0,0.0,0.0,0,3.52,3.36,4.0,2.9,0.3333333333333333,0.0,0.6666666666666666,0
7727,14,14.0,5.13,1.18,0,1540,21,6.0,22,0,0,0,1,1,0,2,22200.0,0.0,0.0,22220,0,0,0.0,0.6,0.6,0.0,0.8,0.8,0.0,0.0,3.5,2.3,2.0,6.0,4.7,2.3,2.4,0.0,0.0,0.0,0,1.08,1.31,3.5,4.7,0.3333333333333333,0.3333333333333333,0.3333333333333333,2
7728,18,20.0,5.31,0.98,2,2669,21,8.0,22,1,0,1,1,1,1,2,22210.0,0.0,0.0,22221,10000,10000,0.0,0.6,0.6,0.2,0.8,0.8,0.0,0.2,4.1,5.4,4.0,8.0,5.7,5.6,4.0,0.0,0.0,0.05,1,4.55,4.71,4.1,5.7,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
7729,9,10.0,5.06,1.12,2,363,21,4.0,22,0,0,0,1,1,1,2,0.0,0.0,0.0,20000,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.0,0.0,0.0,0,0.0,0.19,0.0,0.8,0.3333333333333333,0.6666666666666666,0.0,1
7730,14,14.0,5.12,0.84,2,2058,21,5.0,22,0,0,0,1,1,1,2,22200.0,100.0,100.0,22220,10,10,0.2,0.6,0.6,0.2,0.8,0.8,0.2,0.2,3.7,3.2,3.5,5.0,4.7,3.1,3.5,0.05,1.0,0.05,1,2.68,2.79,3.7,4.7,0.6666666666666666,0.3333333333333333,0.0,2
7731,15,15.0,4.97,1.02,3,2986,21,5.0,22,0,0,0,1,1,1,2,2222.0,0.0,0.0,20222,0,0,0.0,0.8,0.8,0.0,0.8,0.8,0.0,0.0,3.8,4.5,3.2,5.0,3.6,4.5,3.2,0.0,0.0,0.0,0,4.22,4.26,3.8,3.6,0.3333333333333333,0.0,0.6666666666666666,2
7732,11,12.0,4.8,0.66,0,1140,21,4.5,22,0,1,0,1,0,0,1,2011.0,0.0,0.0,10201,0,0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,2.5,2.6,3.4,4.5,2.6,2.6,3.5,0.0,0.0,0.0,0,3.45,3.5,2.5,2.6,0.0,0.0,1.0,0
7733,12,15.0,5.13,0.88,0,2332,21,6.5,22,0,0,0,1,1,0,2,22112.0,0.0,0.0,22211,0,0,0.0,0.6,0.6,0.0,0.6,0.6,0.0,0.0,4.9,4.9,4.7,6.5,5.2,4.9,4.9,0.0,0.0,0.0,0,5.0,5.07,4.9,5.2,0.0,1.0,0.0,2
7734,12,12.0,4.68,0.82,4,1298,21,4.0,22,0,0,0,1,1,0,2,10110.0,0.0,0.0,21011,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,2.6,3.7,3.6,4.0,3.4,3.7,3.5,0.1,2.0,0.1,2,4.28,4.26,2.6,3.4,0.0,0.3333333333333333,0.6666666666666666,1
7735,8,8.0,4.29,0.43,0,243,21,4.5,22,0,0,0,1,1,0,2,1001.0,0.0,0.0,20100,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.7,0.9,1.7,4.5,1.7,0.9,2.6,0.0,0.0,0.0,0,1.3,1.45,1.7,1.7,0.0,0.0,1.0,0
7736,12,13.0,5.07,0.89,1,2512,21,0.0,22,0,0,0,0,0,0,0,2222.0,0.0,0.0,222,0,0,0.0,0.8,0.8,0.0,0.6,0.6,0.0,0.0,4.4,4.1,3.8,0.0,3.4,4.1,3.1,0.05,1.0,0.05,1,4.05,3.86,4.4,3.4,0.6666666666666666,0.3333333333333333,0.0,0
7737,10,10.0,5.0,1.26,4,1587,21,0.0,22,0,0,0,0,0,0,0,2222.0,0.0,0.0,222,0,0,0.0,0.8,0.8,0.0,0.6,0.6,0.0,0.0,4.0,3.6,5.8,0.0,3.2,3.6,5.0,0.2,4.0,0.19,4,4.25,4.05,4.0,3.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
7738,1,1.0,4.75,0.27,0,33,21,0.0,22,0,0,0,0,0,1,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.9,1.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0,1.42,1.36,0.9,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
7739,8,8.0,5.0,0.31,0,580,21,5.0,22,0,0,0,1,1,1,2,111.0,0.0,0.0,20011,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0,3.05,3.14,3.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
